N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.0444222,1.03138,0.05,0.43,,,0.52,0.088,-0.04,0.4
-0.0443899,1.03127,0.055,0.43,,,0.49,0.078,-0.03,0.4
-0.0443575,1.03116,0.06,0.43,,,0.46,0.068,-0.02,0.4
-0.0443252,1.03105,0.065,0.43,,,0.43,0.058,-0.01,0.4
-0.0442928,1.03095,0.05,0.44,,,0.4,0.048,3.46945e-18,0.4
-0.0442604,1.03084,0.055,0.44,,,0.37,0.038,0.01,0.4
-0.044228,1.03073,0.06,0.44,,,0.34,0.028,0.02,0.4
-0.0441956,1.03062,0.065,0.44,,,0.31,0.018,0.03,0.4
-0.0441631,1.03051,0.055,0.45,,,0.28,0.008,0.04,0.4
-0.0441307,1.0304,0.06,0.45,,,0.25,-0.002,0.05,0.4
-0.0440982,1.03029,0.065,0.45,,,0.22,-0.012,0.06,0.4
-0.0440658,1.03018,0.07,0.45,,,0.19,-0.022,0.07,0.4
-0.0440333,1.03007,0.055,0.46,,,0.16,-0.032,0.08,0.4
-0.0440008,1.02996,0.06,0.46,,,0.13,-0.042,0.09,0.4
-0.0439683,1.02985,0.065,0.46,,,0.1,-0.052,0.1,0.4
-0.0439357,1.02974,0.07,0.46,,,0.07,-0.062,0.11,0.4
-0.0439032,1.02963,0.06,0.47,,,0.04,-0.072,0.12,0.4
-0.0438707,1.02952,0.065,0.47,,,0.01,-0.082,0.13,0.4
-0.0438381,1.02941,0.07,0.47,,,-0.02,-0.092,0.14,0.4
-0.0438055,1.0293,0.075,0.47,,,-0.05,-0.102,0.15,0.4
-0.0437729,1.02919,0.06,0.48,,,0.6,0.111875,-0.05,0.45
-0.0437403,1.02908,0.065,0.48,,,0.57,0.101875,-0.04,0.45
-0.0437077,1.02897,0.07,0.48,,,0.54,0.091875,-0.03,0.45
-0.0436751,1.02886,0.075,0.48,,,0.51,0.081875,-0.02,0.45
-0.0436425,1.02875,0.065,0.49,,,0.48,0.071875,-0.01,0.45
-0.0436099,1.02864,0.07,0.49,,,0.45,0.061875,3.46945e-18,0.45
-0.0435772,1.02853,0.075,0.49,,,0.42,0.051875,0.01,0.45
-0.0435446,1.02842,0.08,0.49,,,0.39,0.041875,0.02,0.45
-0.0435119,1.02831,0.07,0.5,,,0.36,0.031875,0.03,0.45
-0.0434792,1.0282,0.075,0.5,,,0.33,0.021875,0.04,0.45
-0.0434465,1.02809,0.08,0.5,,,0.3,0.011875,0.05,0.45
-0.0434138,1.02798,0.085,0.5,,,0.27,0.001875,0.06,0.45
-0.0433811,1.02786,0.07,0.51,,,0.24,-0.008125,0.07,0.45
-0.0433484,1.02775,0.075,0.51,,,0.21,-0.018125,0.08,0.45
-0.0433157,1.02764,0.08,0.51,,,0.18,-0.028125,0.09,0.45
-0.0432829,1.02753,0.085,0.51,,,0.15,-0.038125,0.1,0.45
-0.0432502,1.02742,0.07,0.52,,,0.12,-0.048125,0.11,0.45
-0.0432174,1.02731,0.075,0.52,,,0.09,-0.058125,0.12,0.45
-0.0431847,1.0272,0.08,0.52,,,0.06,-0.068125,0.13,0.45
-0.0431519,1.02709,0.085,0.52,,,0.03,-0.078125,0.14,0.45
-0.0431191,1.02698,0.075,0.53,,,0,-0.088125,0.15,0.45
-0.0430863,1.02687,0.08,0.53,,,0.65,0.125,-0.05,0.5
